marca,modelo,año,antiguedad,oferta_ganadora,kilometraje,km_por_año,transmisión,combustible,cilindrada,visitas,numero_pujas,valor_inicial,mandante,placa,detail_url,image_url
CHEVROLET,NKR,2013,12,5500000,223469.0,17189.923076923078,MECANICA,DIESEL,30,7570,7,3000000,Particular,DWXX66,https://www.karcal.cl/Detalle/Ficha/96357/94,https://www.karcal.cl/Repositorio/26062025/ff3c119f3a2249ef8d70fabb2af0ad32.jpg
FIAT,STRADA,2011,14,1700000,103335.0,6889.0,MECANICA,GASOLINA,14,4540,5,1000000,Particular,CYWS61,https://www.karcal.cl/Detalle/Ficha/96369/95,https://www.karcal.cl/Repositorio/26062025/a5a8d04e17a14a1c9db787ee1361b7d2.jpg
VOLKSWAGEN,SAVEIRO D,2021,4,3800000,128567.0,25713.4,MECANICA,GASOLINA,16,9590,11,2000000,Particular,PHRB25,https://www.karcal.cl/Detalle/Ficha/96363/96,https://www.karcal.cl/Repositorio/03072025/2853a6ce4f0144f3acb4cf0fd796e828.jpg
PEUGEOT,208,2023,2,6400000,22076.0,7358.666666666667,MECANICA,GASOLINA,12,1347,12,2000000,Particular,SRDZ94,https://www.karcal.cl/Detalle/Ficha/96392/97,https://www.karcal.cl/Repositorio/03072025/65494d23193247dca8ab2652456e7a49.jpg
PEUGEOT,308,2017,8,1800000,103861.0,11540.111111111111,AUTOMATICA,GASOLINA,12,7130,6,1000000,Particular,JBJZ66,https://www.karcal.cl/Detalle/Ficha/96422/98,https://www.karcal.cl/Repositorio/27062025/7494e97ba7c644b8bdfb7e1463899ed5.jpg
PEUGEOT,207,2011,14,1600000,159846.0,10656.4,MECANICA,GASOLINA,14,4990,4,1000000,Particular,DBGJ13,https://www.karcal.cl/Detalle/Ficha/96372/99,https://www.karcal.cl/Repositorio/03072025/540a460fc84841128d16d97e0b057104.jpg
PEUGEOT,307,2006,19,700000,206870.0,10343.5,AUTOMATICA,NO INFORMADO,16,4130,2,500000,Particular,ZB4763,https://www.karcal.cl/Detalle/Ficha/96378/100,https://www.karcal.cl/Repositorio/26062025/7e0a3dff67fa4054a810a2ed3b6bc87c.jpg
PEUGEOT,307,2004,21,300000,181333.0,8242.40909090909,MECANICA,NO INFORMADO,16,2320,0,300000,Particular,XH3846,https://www.karcal.cl/Detalle/Ficha/96379/101,https://www.karcal.cl/Repositorio/26062025/608f8fa269954f0488ef34d795a94dec.jpg
MINI,JCW PACEMAN,2013,12,8000000,67692.0,5207.076923076923,MECANICA,GASOLINA,16,9770,11,3000000,Particular,FZTR68,https://www.karcal.cl/Detalle/Ficha/96421/102,https://www.karcal.cl/Repositorio/27062025/cd8df6b1f3ff462c94c9231e5bcd61f4.jpg
KIA MOTORS,RIO,2014,11,3700000,124814.0,10401.166666666666,MECANICA,GASOLINA,12,1263,11,1000000,Particular,GPCS93,https://www.karcal.cl/Detalle/Ficha/96368/103,https://www.karcal.cl/Repositorio/26062025/d6b89317401447f6822639109a2ec650.jpg
SUZUKI,ALTO,2020,5,2600000,90249.0,15041.5,MECANICA,GASOLINA,8000,5020,5,1000000,Particular,PGYJ60,https://www.karcal.cl/Detalle/Ficha/96371/104,https://www.karcal.cl/Repositorio/26062025/bbf2e9c87a3a4c2e96399b110a5e0f25.jpg
VOLKSWAGEN,GOLF,2017,8,6300000,103829.0,11536.555555555555,MECANICA,DIESEL,20,1658,10,3000000,Particular,JVRR21,https://www.karcal.cl/Detalle/Ficha/96359/105,https://www.karcal.cl/Repositorio/03072025/66135816476f439fa59ab9f402f0eb71.jpg
NISSAN,VERSA,2023,2,5800000,33793.0,11264.333333333334,AUTOMATICA,GASOLINA,16,7730,15,1000000,Particular,SPGL96,https://www.karcal.cl/Detalle/Ficha/96427/106,https://www.karcal.cl/Repositorio/30062025/5ef728185f80474eb41347a3b5e18ca2.jpg
NISSAN,VERSA,2016,9,1700000,92294.0,9229.4,MECANICA,GASOLINA,16,6020,3,1000000,Particular,HSWY22,https://www.karcal.cl/Detalle/Ficha/96374/107,https://www.karcal.cl/Repositorio/26062025/e9e5204ec72846c7bf4a1e0856e8670b.jpg
HYUNDAI,ELANTRA,2012,13,1000000,344117.0,24579.785714285714,AUTOMATICA,GASOLINA,18,3170,1,1000000,Particular,DWVW17,https://www.karcal.cl/Detalle/Ficha/96375/108,https://www.karcal.cl/Repositorio/26062025/3f5115c3910e4b0cbb45f757e51236fc.jpg
DFM,S30,2016,9,1000000,265651.0,26565.1,MECANICA,GASOLINA,16,1550,0,1000000,Particular,FDYG67,https://www.karcal.cl/Detalle/Ficha/96380/109,https://www.karcal.cl/Repositorio/01072025/cfbc130b27354b32861603cd618288c2.jpg
AUDI,A5 CABRIO,2011,14,8200000,145945.0,9729.666666666666,AUTOMATICA,GASOLINA,20,1595,10,3000000,Particular,DCLY75,https://www.karcal.cl/Detalle/Ficha/96360/110,https://www.karcal.cl/Repositorio/26062025/1fd2f614439a4862b53ea08656f9e993.jpg
CHEVROLET,OPTRA,2011,14,1400000,204978.0,13665.2,MECANICA,GASOLINA,16,2830,2,1000000,Particular,CXZY10,https://www.karcal.cl/Detalle/Ficha/96428/111,https://www.karcal.cl/Repositorio/03072025/2b4dff24f23d4f2a973efb49e207c4a3.jpg
AUDI,A1,2014,11,2500000,97295.0,8107.916666666667,AUTOMATICA,GASOLINA,14,7350,4,2000000,Particular,GKRZ10,https://www.karcal.cl/Detalle/Ficha/96417/112,https://www.karcal.cl/Repositorio/03072025/3c41bc9b19604e0c972c2a2528823e61.jpg
BMW,116I,2014,11,1000000,139485.0,11623.75,MECANICA,GASOLINA,16,2870,0,1000000,Particular,GDKC36,https://www.karcal.cl/Detalle/Ficha/96373/113,https://www.karcal.cl/Repositorio/26062025/a2b402d7234c415dabfe9f03ec0cd839.jpg
BMW,116I B,2009,16,1000000,216824.0,12754.35294117647,MECANICA,GASOLINA,16,1280,0,1000000,Particular,BSWT31,https://www.karcal.cl/Detalle/Ficha/96424/114,https://www.karcal.cl/Repositorio/03072025/95997e394d664afb84ed5787bbea8e1f.jpg
MITSUBISHI,ASX GL,2023,2,7900000,2754.0,918.0,MECANICA,GASOLINA,16,1094,11,4000000,Particular,TBDK92,https://www.karcal.cl/Detalle/Ficha/96355/115,https://www.karcal.cl/Repositorio/03072025/20b4e463cc504e509d21f616e2af729a.jpg
SUBARU,OUTBACK,2021,4,5000000,32072.0,6414.4,AUTOMATICA,GASOLINA,25,4500,0,5000000,Particular,PYJL66,https://www.karcal.cl/Detalle/Ficha/96429/116,https://www.karcal.cl/Repositorio/02072025/24b3b5da2c094eb096de77e54a85018b.jpg
RENAULT,DUSTER,2021,4,5100000,35728.0,7145.6,MECANICA,GASOLINA,16,4940,7,2000000,Particular,PDSY35,https://www.karcal.cl/Detalle/Ficha/96382/117,https://www.karcal.cl/Repositorio/03072025/434526c1c9734e60a90117679966b529.jpg
VOLKSWAGEN,TIGUAN,2010,15,2200000,131486.0,8217.875,AUTOMATICA,GASOLINA,20,6160,3,2000000,Particular,CFCT74,https://www.karcal.cl/Detalle/Ficha/96370/118,https://www.karcal.cl/Repositorio/26062025/54b01d6f86e849df9789c0ad8eae096c.jpg
MAZDA,5,2016,9,1000000,111746.0,11174.6,AUTOMATICA,GASOLINA,20,1860,0,1000000,Particular,HZWZ19,https://www.karcal.cl/Detalle/Ficha/96377/119,https://www.karcal.cl/Repositorio/03072025/5309b96e35a941bf9a11c87b8994d226.jpg
CHERY,TIGGO,2018,7,3700000,51575.0,6446.875,MECANICA,GASOLINA,15,6400,9,2000000,Particular,KFVH89,https://www.karcal.cl/Detalle/Ficha/96367/120,https://www.karcal.cl/Repositorio/03072025/9be60527a4da47dda9bf5e9629ff7ba8.jpg
CITROËN,DS3,2014,11,3600000,171938.0,14328.166666666666,MECANICA,GASOLINA,16,6480,9,2000000,Particular,GKXC71,https://www.karcal.cl/Detalle/Ficha/96430/121,https://www.karcal.cl/Repositorio/30062025/eb5d36e36db242a79fbecea4f9512e24.jpg
JEEP,GRAND CHEROKEE,2013,12,6500000,161504.0,12423.384615384615,AUTOMATICA,GASOLINA,36,1496,16,2000000,Particular,FDGH23,https://www.karcal.cl/Detalle/Ficha/96362/122,https://www.karcal.cl/Repositorio/26062025/6246b9f4fdb64841a175980bc43812e7.jpg
HYUNDAI,SANTA FE,2013,12,4100000,214474.0,16498.0,AUTOMATICA,GASOLINA,33,122,12,2000000,Particular,FSVC63,https://www.karcal.cl/Detalle/Ficha/96364/123,https://www.karcal.cl/Repositorio/26062025/96502d69afef42c2b2ddca243495f31c.jpg
GAC,GS4 POWER,2023,2,5100000,94116.0,31372.0,MECANICA,GASOLINA,15,3700,10,2000000,Particular,SWZH17,https://www.karcal.cl/Detalle/Ficha/96365/124,https://www.karcal.cl/Repositorio/03072025/44a2c02c904e498aa3936cfc11fa91d6.jpg
FORD,EXPLORER,2001,24,2000000,175927.0,7037.08,MECANICA,NO INFORMADO,40,5000,1,2000000,Particular,UC5676,https://www.karcal.cl/Detalle/Ficha/96423/125,https://www.karcal.cl/Repositorio/30062025/3ee60b772eb04e9eae97f8d19b5a22ac.jpg
LAND ROVER,RANGE ROVER,2011,14,4000000,145945.0,9729.666666666666,AUTOMATICA,DIESEL,30,148,4,3000000,Particular,CWGK28,https://www.karcal.cl/Detalle/Ficha/96381/126,https://www.karcal.cl/Repositorio/26062025/d9ecb240278343668b9c8518828beb79.jpg
PEUGEOT,TRAVELLER,2018,7,7300000,129496.0,16187.0,MECANICA,DIESEL,20,8370,7,5000000,Particular,HYKJ50,https://www.karcal.cl/Detalle/Ficha/96356/127,https://www.karcal.cl/Repositorio/26062025/42624be01bbd4391b4c18ad9e5a74be5.jpg
PEUGEOT,EXPERT,2017,8,5600000,103845.0,11538.333333333334,MECANICA,DIESEL,20,5350,2,3000000,Particular,HSBT22,https://www.karcal.cl/Detalle/Ficha/96361/128,https://www.karcal.cl/Repositorio/02072025/ca71218716d441d9b6704499560a7d3d.jpg
CITROËN,BERLINGO,2012,13,1400000,344117.0,24579.785714285714,MECANICA,DIESEL,16,5880,2,1000000,Particular,DFST20,https://www.karcal.cl/Detalle/Ficha/96376/129,https://www.karcal.cl/Repositorio/03072025/db1554210e1840a8960ced255000bf48.jpg
MERCEDES BENZ,SPRINTER,2014,11,4100000,13797.0,1149.75,MECANICA,DIESEL,22,7460,3,3000000,Particular,GLWG37,https://www.karcal.cl/Detalle/Ficha/96431/130,https://www.karcal.cl/Repositorio/03072025/78dd946a471e4ed7b760fe6e2454a2e8.jpg
